]0;IPython: disease_forecasting/scriptsData Loaded :  0.2651982307434082
Train = 305, Val = 77
Datagens Loaded :  4.172325134277344e-05
Training ...
Loss at epoch 1 = 1.21727454662323
Loss at epoch 51 = 1.163496494293213
Loss at epoch 101 = 1.091306209564209
Loss at epoch 151 = 1.0845940113067627
Loss at epoch 201 = 1.0747950077056885
Loss at epoch 251 = 0.9220588207244873
Loss at epoch 301 = 0.9549646973609924
Loss at epoch 351 = 1.0074509382247925
Loss at epoch 401 = 0.9597409963607788
Loss at epoch 451 = 0.9469510316848755
Loss at epoch 501 = 0.9674956202507019
Loss at epoch 551 = 1.0007965564727783
Loss at epoch 601 = 1.1030939817428589
Loss at epoch 651 = 0.9167898893356323
Loss at epoch 701 = 1.0226671695709229
Loss at epoch 751 = 0.8576984405517578
Loss at epoch 801 = 1.068461298942566
Loss at epoch 851 = 0.9710066914558411
Loss at epoch 901 = 1.0481687784194946
Loss at epoch 951 = 0.9209415316581726
Loss at epoch 1001 = 1.0383517742156982
Loss at epoch 1051 = 1.1067665815353394
Loss at epoch 1101 = 1.0082985162734985
Loss at epoch 1151 = 1.1715084314346313
Loss at epoch 1201 = 0.9130638837814331
Loss at epoch 1251 = 1.0618367195129395
Loss at epoch 1301 = 0.9639679193496704
Loss at epoch 1351 = 1.0012027025222778
Loss at epoch 1401 = 0.8971416354179382
Loss at epoch 1451 = 1.0198264122009277
Loss at epoch 1501 = 1.077879786491394
Loss at epoch 1551 = 1.102293848991394
Loss at epoch 1601 = 1.0632673501968384
Loss at epoch 1651 = 1.0529375076293945
Loss at epoch 1701 = 0.8792018890380859
Loss at epoch 1751 = 0.8763564825057983
Loss at epoch 1801 = 0.9121187925338745
Loss at epoch 1851 = 0.9453043937683105
Loss at epoch 1901 = 0.9332760572433472
Loss at epoch 1951 = 1.0214927196502686
Loss at epoch 2001 = 1.0205047130584717
Loss at epoch 2051 = 0.9326412677764893
Loss at epoch 2101 = 1.0290700197219849
Loss at epoch 2151 = 1.0065168142318726
Loss at epoch 2201 = 1.0321083068847656
Loss at epoch 2251 = 1.0697587728500366
Loss at epoch 2301 = 0.8960005640983582
Loss at epoch 2351 = 1.0151088237762451
Loss at epoch 2401 = 0.8682353496551514
Loss at epoch 2451 = 1.0116851329803467
Loss at epoch 2501 = 0.8768625855445862
Loss at epoch 2551 = 0.994902491569519
Loss at epoch 2601 = 0.982406735420227
Loss at epoch 2651 = 1.0406087636947632
Loss at epoch 2701 = 0.9945242404937744
Loss at epoch 2751 = 1.0337862968444824
Loss at epoch 2801 = 0.8719149231910706
Loss at epoch 2851 = 0.8899012804031372
Loss at epoch 2901 = 0.8476049304008484
Loss at epoch 2951 = 0.9457982778549194
