]0;IPython: disease_forecasting/scriptsData Loaded :  4.533764123916626
Train = 305, Val = 77
Datagens Loaded :  5.340576171875e-05
Training ...
Loss at epoch 1 = 1.1251002550125122, T = 3
Loss at epoch 101 = 1.0185424089431763, T = 3
Loss at epoch 201 = 1.1174275875091553, T = 3
Loss at epoch 301 = 1.1209862232208252, T = 3
Loss at epoch 401 = 1.0661360025405884, T = 3
Loss at epoch 501 = 1.0219041109085083, T = 3
Loss at epoch 601 = 1.090914249420166, T = 3
Loss at epoch 701 = 1.0623779296875, T = 3
Loss at epoch 801 = 1.1989550590515137, T = 3
Loss at epoch 901 = 1.093701958656311, T = 3
Loss at epoch 1001 = 1.0932625532150269, T = 3
Loss at epoch 1101 = 1.1178244352340698, T = 3
Loss at epoch 1201 = 1.0138566493988037, T = 3
Loss at epoch 1301 = 1.1326768398284912, T = 3
Loss at epoch 1401 = 1.0840250253677368, T = 3
Loss at epoch 1501 = 1.088777780532837, T = 3
Loss at epoch 1601 = 1.0326058864593506, T = 3
Loss at epoch 1701 = 1.1205182075500488, T = 3
Loss at epoch 1801 = 1.0221366882324219, T = 3
Loss at epoch 1901 = 1.0822993516921997, T = 3
Loss at epoch 2001 = 1.1024729013442993, T = 3
Loss at epoch 2101 = 0.9648757576942444, T = 3
Loss at epoch 2201 = 1.1948212385177612, T = 3
Loss at epoch 2301 = 1.081299066543579, T = 3
Loss at epoch 2401 = 1.1425169706344604, T = 3
Loss at epoch 2501 = 1.1348726749420166, T = 3
Loss at epoch 2601 = 1.0464872121810913, T = 3
Loss at epoch 2701 = 0.981105387210846, T = 3
Loss at epoch 2801 = 1.0379034280776978, T = 3
Loss at epoch 2901 = 1.0458277463912964, T = 3
Loss at epoch 3001 = 1.0806599855422974, T = 3
Loss at epoch 3101 = 1.0628949403762817, T = 3
Loss at epoch 3201 = 1.0259736776351929, T = 3
Loss at epoch 3301 = 1.0671104192733765, T = 3
Loss at epoch 3401 = 0.9761286377906799, T = 3
Loss at epoch 3501 = 1.0504103899002075, T = 3
Loss at epoch 3601 = 1.053063154220581, T = 3
Loss at epoch 3701 = 1.00503408908844, T = 3
Loss at epoch 3801 = 1.0274219512939453, T = 3
Loss at epoch 3901 = 1.0115045309066772, T = 3
Loss at epoch 4001 = 1.0150353908538818, T = 3
Loss at epoch 4101 = 0.9958067536354065, T = 3
Loss at epoch 4201 = 0.9965534806251526, T = 3
Loss at epoch 4301 = 1.0987266302108765, T = 3
Loss at epoch 4401 = 0.9870423078536987, T = 3
Loss at epoch 4501 = 1.031564474105835, T = 3
Loss at epoch 4601 = 1.0698827505111694, T = 3
Loss at epoch 4701 = 1.08042573928833, T = 3
Loss at epoch 4801 = 1.1384892463684082, T = 3
Loss at epoch 4901 = 1.0151664018630981, T = 3
Loss at epoch 5001 = 1.0526376962661743, T = 3
Loss at epoch 5101 = 1.1736527681350708, T = 3
Loss at epoch 5201 = 1.0560234785079956, T = 3
Loss at epoch 5301 = 1.021873116493225, T = 3
Loss at epoch 5401 = 1.0920237302780151, T = 3
Loss at epoch 5501 = 1.0468858480453491, T = 3
Loss at epoch 5601 = 1.0437662601470947, T = 3
Loss at epoch 5701 = 1.0279659032821655, T = 3
Loss at epoch 5801 = 1.0700712203979492, T = 3
Loss at epoch 5901 = 1.078508973121643, T = 3
Loss at epoch 6001 = 1.0793962478637695, T = 3
Loss at epoch 6101 = 1.0258326530456543, T = 3
Loss at epoch 6201 = 1.0395903587341309, T = 3
Loss at epoch 6301 = 1.0671154260635376, T = 3
Loss at epoch 6401 = 1.0843544006347656, T = 3
Loss at epoch 6501 = 0.97391676902771, T = 3
Loss at epoch 6601 = 0.9909858703613281, T = 3
Loss at epoch 6701 = 0.9341148138046265, T = 3
Loss at epoch 6801 = 1.0003561973571777, T = 3
Loss at epoch 6901 = 1.00493586063385, T = 3
Loss at epoch 7001 = 0.9494140148162842, T = 3
Loss at epoch 7101 = 1.1390326023101807, T = 3
Loss at epoch 7201 = 1.1114236116409302, T = 3
Loss at epoch 7301 = 1.0407075881958008, T = 3
Loss at epoch 7401 = 1.0064656734466553, T = 3
Loss at epoch 7501 = 0.9367082118988037, T = 3
Loss at epoch 7601 = 0.9957976937294006, T = 3
Loss at epoch 7701 = 1.0425390005111694, T = 3
Loss at epoch 7801 = 0.992726743221283, T = 3
Loss at epoch 7901 = 1.0793546438217163, T = 3
Loss at epoch 8001 = 1.0834137201309204, T = 3
Loss at epoch 8101 = 1.046715497970581, T = 3
Loss at epoch 8201 = 1.0354257822036743, T = 3
Loss at epoch 8301 = 0.9734379053115845, T = 3
Loss at epoch 8401 = 1.0680923461914062, T = 3
Loss at epoch 8501 = 1.0716888904571533, T = 3
Loss at epoch 8601 = 1.0938512086868286, T = 3
Loss at epoch 8701 = 0.9612028002738953, T = 3
Loss at epoch 8801 = 1.026410460472107, T = 3
Loss at epoch 8901 = 1.0690127611160278, T = 3
Loss at epoch 9001 = 1.0421282052993774, T = 3
Loss at epoch 9101 = 0.9749042987823486, T = 3
Loss at epoch 9201 = 1.0068464279174805, T = 3
Loss at epoch 9301 = 1.1116979122161865, T = 3
Loss at epoch 9401 = 0.9577016234397888, T = 3
Loss at epoch 9501 = 1.0843449831008911, T = 3
Loss at epoch 9601 = 1.0493875741958618, T = 3
Loss at epoch 9701 = 1.1078763008117676, T = 3
Loss at epoch 9801 = 1.1248257160186768, T = 3
Loss at epoch 9901 = 1.0259711742401123, T = 3
Loss at epoch 10001 = 1.0922551155090332, T = 3
