]0;IPython: disease_forecasting/scriptsData Loaded :  0.10794281959533691
Train = 305, Val = 77
Datagens Loaded :  7.295608520507812e-05
Training ...
Loss at epoch 1 = 1.1299606561660767, T = 1
Loss at epoch 101 = 1.0063135623931885, T = 1
Loss at epoch 201 = 1.0181876420974731, T = 1
Loss at epoch 301 = 0.7999593615531921, T = 1
Loss at epoch 401 = 0.7290338277816772, T = 1
Loss at epoch 501 = 0.6534106731414795, T = 1
Loss at epoch 601 = 0.6003366112709045, T = 1
Loss at epoch 701 = 0.6977692246437073, T = 1
Loss at epoch 801 = 0.6846538782119751, T = 1
Loss at epoch 901 = 0.7309398055076599, T = 1
Loss at epoch 1001 = 0.5992027521133423, T = 1
Loss at epoch 1101 = 0.638176679611206, T = 1
Loss at epoch 1201 = 0.9520354270935059, T = 1
Loss at epoch 1301 = 1.0059891939163208, T = 1
Loss at epoch 1401 = 0.38325780630111694, T = 1
Loss at epoch 1501 = 0.3650544583797455, T = 1
Loss at epoch 1601 = 0.5829600691795349, T = 1
Loss at epoch 1701 = 0.45938748121261597, T = 1
Loss at epoch 1801 = 0.4680652320384979, T = 1
Loss at epoch 1901 = 0.49839407205581665, T = 1
Loss at epoch 2001 = 0.6601934432983398, T = 1
Loss at epoch 2101 = 0.5786883234977722, T = 1
Loss at epoch 2201 = 0.43371930718421936, T = 1
Loss at epoch 2301 = 0.4813961982727051, T = 1
Loss at epoch 2401 = 0.2608226537704468, T = 1
Loss at epoch 2501 = 0.5678261518478394, T = 1
Loss at epoch 2601 = 0.3370477855205536, T = 1
Loss at epoch 2701 = 0.7119864821434021, T = 1
Loss at epoch 2801 = 0.7630755305290222, T = 1
Loss at epoch 2901 = 0.4660514295101166, T = 1
Loss at epoch 3001 = 0.34336018562316895, T = 1
Loss at epoch 3101 = 0.46263399720191956, T = 1
Loss at epoch 3201 = 0.5733399391174316, T = 1
Loss at epoch 3301 = 0.34845855832099915, T = 1
Loss at epoch 3401 = 0.47297483682632446, T = 1
Loss at epoch 3501 = 0.2159765362739563, T = 1
Loss at epoch 3601 = 0.5491026043891907, T = 1
Loss at epoch 3701 = 0.4792293310165405, T = 1
Loss at epoch 3801 = 0.4001975655555725, T = 1
Loss at epoch 3901 = 0.3212584853172302, T = 1
Loss at epoch 4001 = 0.33960336446762085, T = 1
Loss at epoch 4101 = 0.37416040897369385, T = 1
Loss at epoch 4201 = 0.4366433322429657, T = 1
Loss at epoch 4301 = 0.5886805057525635, T = 1
Loss at epoch 4401 = 0.4268869161605835, T = 1
Loss at epoch 4501 = 0.3563365936279297, T = 1
Loss at epoch 4601 = 0.5708011388778687, T = 1
Loss at epoch 4701 = 0.45695188641548157, T = 1
Loss at epoch 4801 = 0.33627092838287354, T = 1
Loss at epoch 4901 = 0.293317973613739, T = 1
Loss at epoch 5001 = 0.19690167903900146, T = 1
Loss at epoch 5101 = 0.33221903443336487, T = 1
Loss at epoch 5201 = 0.522398829460144, T = 1
Loss at epoch 5301 = 0.3837871551513672, T = 1
Loss at epoch 5401 = 0.6434422135353088, T = 1
Loss at epoch 5501 = 0.30863115191459656, T = 1
Loss at epoch 5601 = 0.5322299003601074, T = 1
Loss at epoch 5701 = 0.4028927683830261, T = 1
Loss at epoch 5801 = 0.4743106961250305, T = 1
Loss at epoch 5901 = 0.2869049310684204, T = 1
Loss at epoch 6001 = 0.5301287174224854, T = 1
Loss at epoch 6101 = 0.4909425675868988, T = 1
Loss at epoch 6201 = 0.340251088142395, T = 1
Loss at epoch 6301 = 0.30051591992378235, T = 1
Loss at epoch 6401 = 0.511487603187561, T = 1
Loss at epoch 6501 = 0.7260866165161133, T = 1
Loss at epoch 6601 = 0.2851055860519409, T = 1
Loss at epoch 6701 = 0.41954347491264343, T = 1
Loss at epoch 6801 = 0.46566087007522583, T = 1
Loss at epoch 6901 = 0.2904041111469269, T = 1
Loss at epoch 7001 = 0.4932314157485962, T = 1
Loss at epoch 7101 = 0.4804273843765259, T = 1
Loss at epoch 7201 = 0.5295827984809875, T = 1
Loss at epoch 7301 = 0.3665814995765686, T = 1
Loss at epoch 7401 = 0.48493683338165283, T = 1
Loss at epoch 7501 = 0.3295329213142395, T = 1
Loss at epoch 7601 = 0.3208810091018677, T = 1
Loss at epoch 7701 = 0.48000916838645935, T = 1
Loss at epoch 7801 = 0.4594569802284241, T = 1
Loss at epoch 7901 = 0.8847227096557617, T = 1
Loss at epoch 8001 = 0.5081925988197327, T = 1
Loss at epoch 8101 = 0.42277631163597107, T = 1
Loss at epoch 8201 = 0.31916993856430054, T = 1
Loss at epoch 8301 = 0.35999757051467896, T = 1
Loss at epoch 8401 = 0.22770437598228455, T = 1
Loss at epoch 8501 = 0.36606454849243164, T = 1
Loss at epoch 8601 = 0.29745450615882874, T = 1
Loss at epoch 8701 = 0.4405997097492218, T = 1
Loss at epoch 8801 = 0.2748487591743469, T = 1
Loss at epoch 8901 = 0.40568238496780396, T = 1
Loss at epoch 9001 = 0.5930740237236023, T = 1
Loss at epoch 9101 = 0.2983187139034271, T = 1
Loss at epoch 9201 = 0.37712961435317993, T = 1
Loss at epoch 9301 = 0.3432229161262512, T = 1
Loss at epoch 9401 = 0.40672430396080017, T = 1
Loss at epoch 9501 = 0.644896388053894, T = 1
Loss at epoch 9601 = 0.43661612272262573, T = 1
Loss at epoch 9701 = 0.6601723432540894, T = 1
Loss at epoch 9801 = 0.5939280390739441, T = 1
Loss at epoch 9901 = 0.5081841945648193, T = 1
Train data : 
Val data : 
